,countyr_code,alpha3code,country,country_name,date,deaths,epiweek_onset,imported_cases,lab_confirmed_cases,nombre_pais,num_country_code,num_country_code2,num_gbs,num_gbs_with_zika,num_records,num_microcephaly_associated,other_neuro_complications,other_source_transmission,pregnant_women,report_epi_week,severe_cases,sovereign,status,sub_region,suspected_cases,suspect_cases_bin,total_cases,total_cases_bin,year
12,GUF,GUF,French Guiana,French Guiana,"December, 2015",0.0,0.0,0.0,0,Guayana Francesa,254.0,254.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,52,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2015.0
13,GUF,GUF,French Guiana,French Guiana,"January, 2016",0.0,0.0,0.0,0,Guayana Francesa,254.0,254.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2016.0
14,GUF,GUF,French Guiana,French Guiana,"January, 2016",0.0,52.0,10.0,7,Guayana Francesa,254.0,254.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,700%,0%,2016.0
15,GUF,GUF,French Guiana,French Guiana,"January, 2016",0.0,0.0,0.0,0,Guayana Francesa,254.0,254.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2016.0
16,GUF,GUF,French Guiana,French Guiana,"January, 2016",0.0,0.0,0.0,39,Guayana Francesa,254.0,254.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,France,Participating State \Territory,Latin Caribbean,130,0K,16900%,0%,2016.0
17,GUF,GUF,French Guiana,French Guiana,"January, 2016",0.0,0.0,0.0,0,Guayana Francesa,254.0,254.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2016.0
18,GUF,GUF,French Guiana,French Guiana,"January, 2016",0.0,0.0,0.0,29,Guayana Francesa,254.0,254.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,France,Participating State \Territory,Latin Caribbean,115,0K,14400%,0%,2016.0
19,GUF,GUF,French Guiana,French Guiana,"January, 2016",0.0,0.0,0.0,0,Guayana Francesa,254.0,254.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2016.0
20,GUF,GUF,French Guiana,French Guiana,"January, 2016",0.0,0.0,0.0,13,Guayana Francesa,254.0,254.0,3.0,0.0,1.0,0.0,0.0,0.0,8.0,4,0.0,France,Participating State \Territory,Latin Caribbean,185,0K,19800%,0%,2016.0
21,GUF,GUF,French Guiana,French Guiana,"February, 2016",0.0,0.0,0.0,0,Guayana Francesa,254.0,254.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2016.0
22,GUF,GUF,French Guiana,French Guiana,"February, 2016",0.0,0.0,0.0,11,Guayana Francesa,254.0,254.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6,0.0,France,Participating State \Territory,Latin Caribbean,360,0K,37100%,0%,2016.0
0,GLP,GLP,Guadeloupe,Guadeloupe,"October, 2015",0.0,0.0,0.0,0,Guadalupe,312.0,312.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2015.0
1,GLP,GLP,Guadeloupe,Guadeloupe,"October, 2015",0.0,0.0,0.0,0,Guadalupe,312.0,312.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2015.0
2,GLP,GLP,Guadeloupe,Guadeloupe,"October, 2015",0.0,0.0,0.0,0,Guadalupe,312.0,312.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2015.0
3,GLP,GLP,Guadeloupe,Guadeloupe,"October, 2015",0.0,0.0,0.0,0,Guadalupe,312.0,312.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2015.0
4,GLP,GLP,Guadeloupe,Guadeloupe,"November, 2015",0.0,0.0,0.0,0,Guadalupe,312.0,312.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,44,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2015.0
5,GLP,GLP,Guadeloupe,Guadeloupe,"November, 2015",0.0,0.0,0.0,0,Guadalupe,312.0,312.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2015.0
6,GLP,GLP,Guadeloupe,Guadeloupe,"November, 2015",0.0,0.0,0.0,0,Guadalupe,312.0,312.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2015.0
7,GLP,GLP,Guadeloupe,Guadeloupe,"November, 2015",0.0,0.0,0.0,0,Guadalupe,312.0,312.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2015.0
8,GLP,GLP,Guadeloupe,Guadeloupe,"December, 2015",0.0,0.0,0.0,0,Guadalupe,312.0,312.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2015.0
9,GLP,GLP,Guadeloupe,Guadeloupe,"December, 2015",0.0,0.0,0.0,0,Guadalupe,312.0,312.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,49,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2015.0
10,GLP,GLP,Guadeloupe,Guadeloupe,"December, 2015",0.0,0.0,0.0,0,Guadalupe,312.0,312.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,50,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2015.0
11,GLP,GLP,Guadeloupe,Guadeloupe,"December, 2015",0.0,0.0,0.0,0,Guadalupe,312.0,312.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,51,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2015.0
12,GLP,GLP,Guadeloupe,Guadeloupe,"December, 2015",0.0,0.0,0.0,0,Guadalupe,312.0,312.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,52,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2015.0
