location,location_type,country,state_province,district_county_municipality,city,alt_name1,alt_name2
Colombia-Antioquia-Puerto_Berrio,municipality,Colombia,Antioquia,Puerto_Berrio,NA,5579,NA
Colombia-Antioquia-Puerto_Nare,municipality,Colombia,Antioquia,Puerto_Nare,NA,5585,NA
Colombia-Antioquia-Puerto_Triunfo,municipality,Colombia,Antioquia,Puerto_Triunfo,NA,5591,NA
Colombia-Antioquia-Remedios,municipality,Colombia,Antioquia,Remedios,NA,5604,NA
Colombia-Antioquia-Retiro,municipality,Colombia,Antioquia,Retiro,NA,5607,NA
Colombia-Antioquia-Rionegro,municipality,Colombia,Antioquia,Rionegro,NA,5615,NA
Colombia-Antioquia-Sabanalarga,municipality,Colombia,Antioquia,Sabanalarga,NA,5628,NA
Colombia-Antioquia-Sabaneta,municipality,Colombia,Antioquia,Sabaneta,NA,5631,NA
Colombia-Antioquia-Salgar,municipality,Colombia,Antioquia,Salgar,NA,5642,NA
Colombia-Antioquia-San_Andres_De_Cuerquia,municipality,Colombia,Antioquia,San_Andres_De_Cuerquia,NA,5647,NA
Colombia-Antioquia-San_Carlos,municipality,Colombia,Antioquia,San_Carlos,NA,5649,NA
Colombia-Antioquia-San_Francisco,municipality,Colombia,Antioquia,San_Francisco,NA,5652,NA
Colombia-Antioquia-San_Jeronimo,municipality,Colombia,Antioquia,San_Jeronimo,NA,5656,NA
Colombia-Antioquia-San_Jose_De_La_Montana,municipality,Colombia,Antioquia,San_Jose_De_La_Montana,NA,5658,NA
Colombia-Antioquia-San_Juan_De_Uraba,municipality,Colombia,Antioquia,San_Juan_De_Uraba,NA,5659,NA
Colombia-Antioquia-San_Luis,municipality,Colombia,Antioquia,San_Luis,NA,5660,NA
Colombia-Antioquia-San_Pedro,municipality,Colombia,Antioquia,San_Pedro,NA,5664,NA
Colombia-Antioquia-San_Pedro_De_Uraba,municipality,Colombia,Antioquia,San_Pedro_De_Uraba,NA,5665,NA
Colombia-Antioquia-San_Rafael,municipality,Colombia,Antioquia,San_Rafael,NA,5667,NA
Colombia-Antioquia-San_Roque,municipality,Colombia,Antioquia,San_Roque,NA,5670,NA
Colombia-Antioquia-San_Vicente,municipality,Colombia,Antioquia,San_Vicente,NA,5674,NA
Colombia-Antioquia-Santa_Barbara,municipality,Colombia,Antioquia,Santa_Barbara,NA,5679,NA
Colombia-Antioquia-Santa_Rosa_De_Osos,municipality,Colombia,Antioquia,Santa_Rosa_De_Osos,NA,5686,NA
Colombia-Antioquia-Santo_Domingo,municipality,Colombia,Antioquia,Santo_Domingo,NA,5690,NA
Colombia-Antioquia-El_Santuario,municipality,Colombia,Antioquia,El_Santuario,NA,5697,NA
Colombia-Antioquia-Segovia,municipality,Colombia,Antioquia,Segovia,NA,5736,NA
Colombia-Antioquia-Sonson,municipality,Colombia,Antioquia,Sonson,NA,5756,NA
Colombia-Antioquia-Sopetran,municipality,Colombia,Antioquia,Sopetran,NA,5761,NA
Colombia-Antioquia-Tamesis,municipality,Colombia,Antioquia,Tamesis,NA,5789,NA
Colombia-Antioquia-Taraza,municipality,Colombia,Antioquia,Taraza,NA,5790,NA
Colombia-Antioquia-Tarso,municipality,Colombia,Antioquia,Tarso,NA,5792,NA
Colombia-Antioquia-Titiribi,municipality,Colombia,Antioquia,Titiribi,NA,5809,NA
Colombia-Antioquia-Toledo,municipality,Colombia,Antioquia,Toledo,NA,5819,NA
Colombia-Antioquia-Turbo,municipality,Colombia,Antioquia,Turbo,NA,5837,NA
Colombia-Antioquia-Uramita,municipality,Colombia,Antioquia,Uramita,NA,5842,NA
Colombia-Antioquia-Urrao,municipality,Colombia,Antioquia,Urrao,NA,5847,NA
Colombia-Antioquia-Valdivia,municipality,Colombia,Antioquia,Valdivia,NA,5854,NA
Colombia-Antioquia-Valparaiso,municipality,Colombia,Antioquia,Valparaiso,NA,5856,NA
Colombia-Antioquia-Vegachi,municipality,Colombia,Antioquia,Vegachi,NA,5858,NA
Colombia-Antioquia-Venecia,municipality,Colombia,Antioquia,Venecia,NA,5861,NA
Colombia-Antioquia-Vigia_Del_Fuerte,municipality,Colombia,Antioquia,Vigia_Del_Fuerte,NA,5873,NA
Colombia-Antioquia-Yali,municipality,Colombia,Antioquia,Yali,NA,5885,NA
Colombia-Antioquia-Yarumal,municipality,Colombia,Antioquia,Yarumal,NA,5887,NA
Colombia-Antioquia-Yolombo,municipality,Colombia,Antioquia,Yolombo,NA,5890,NA
Colombia-Antioquia-Yondo,municipality,Colombia,Antioquia,Yondo,NA,5893,NA
Colombia-Antioquia-Zaragoza,municipality,Colombia,Antioquia,Zaragoza,NA,5895,NA
Colombia-Barranquilla-Barranquilla,municipality,Colombia,Barranquilla,Barranquilla,NA,9001,NA
Colombia-Atlantico-Unknown,municipality,Colombia,Atlantico,Unknown,NA,8000,NA
Colombia-Atlantico-Baranoa,municipality,Colombia,Atlantico,Baranoa,NA,8078,NA
Colombia-Atlantico-Campo_De_La_Cruz,municipality,Colombia,Atlantico,Campo_De_La_Cruz,NA,8137,NA
Colombia-Atlantico-Candelaria,municipality,Colombia,Atlantico,Candelaria,NA,8141,NA
Colombia-Atlantico-Galapa,municipality,Colombia,Atlantico,Galapa,NA,8296,NA
Colombia-Atlantico-Juan_De_Acosta,municipality,Colombia,Atlantico,Juan_De_Acosta,NA,8372,NA
Colombia-Atlantico-Luruaco,municipality,Colombia,Atlantico,Luruaco,NA,8421,NA
Colombia-Atlantico-Malambo,municipality,Colombia,Atlantico,Malambo,NA,8433,NA
Colombia-Atlantico-Manati,municipality,Colombia,Atlantico,Manati,NA,8436,NA
Colombia-Atlantico-Palmar_De_Varela,municipality,Colombia,Atlantico,Palmar_De_Varela,NA,8520,NA
Colombia-Atlantico-Piojo,municipality,Colombia,Atlantico,Piojo,NA,8549,NA
Colombia-Atlantico-Polonuevo,municipality,Colombia,Atlantico,Polonuevo,NA,8558,NA
Colombia-Atlantico-Ponedera,municipality,Colombia,Atlantico,Ponedera,NA,8560,NA
Colombia-Atlantico-Puerto_Colombia,municipality,Colombia,Atlantico,Puerto_Colombia,NA,8573,NA
Colombia-Atlantico-Repelon,municipality,Colombia,Atlantico,Repelon,NA,8606,NA
Colombia-Atlantico-Sabanagrande,municipality,Colombia,Atlantico,Sabanagrande,NA,8634,NA
Colombia-Atlantico-Sabanalarga,municipality,Colombia,Atlantico,Sabanalarga,NA,8638,NA
Colombia-Atlantico-Santa_Lucia,municipality,Colombia,Atlantico,Santa_Lucia,NA,8675,NA
Colombia-Atlantico-Santo_Tomas,municipality,Colombia,Atlantico,Santo_Tomas,NA,8685,NA
Colombia-Atlantico-Soledad,municipality,Colombia,Atlantico,Soledad,NA,8758,NA
Colombia-Atlantico-Suan,municipality,Colombia,Atlantico,Suan,NA,8770,NA
Colombia-Atlantico-Tubara,municipality,Colombia,Atlantico,Tubara,NA,8832,NA
Colombia-Atlantico-Usiacuri,municipality,Colombia,Atlantico,Usiacuri,NA,8849,NA
Colombia-Cartagena-Cartagena,municipality,Colombia,Cartagena,Cartagena,NA,14001,NA
Colombia-Bolivar-Unknown,municipality,Colombia,Bolivar,Unknown,NA,13000,NA
Colombia-Bolivar-Achi,municipality,Colombia,Bolivar,Achi,NA,13006,NA
Colombia-Bolivar-Altos_Del_Rosario,municipality,Colombia,Bolivar,Altos_Del_Rosario,NA,13030,NA
Colombia-Bolivar-Arenal,municipality,Colombia,Bolivar,Arenal,NA,13042,NA
Colombia-Bolivar-Arjona,municipality,Colombia,Bolivar,Arjona,NA,13052,NA
Colombia-Bolivar-Arroyohondo,municipality,Colombia,Bolivar,Arroyohondo,NA,13062,NA
Colombia-Bolivar-Barranco_De_Loba,municipality,Colombia,Bolivar,Barranco_De_Loba,NA,13074,NA
Colombia-Bolivar-Calamar,municipality,Colombia,Bolivar,Calamar,NA,13140,NA
Colombia-Bolivar-Cantagallo,municipality,Colombia,Bolivar,Cantagallo,NA,13160,NA
Colombia-Bolivar-Cicuco,municipality,Colombia,Bolivar,Cicuco,NA,13188,NA
Colombia-Bolivar-Cordoba,municipality,Colombia,Bolivar,Cordoba,NA,13212,NA
Colombia-Bolivar-Clemencia,municipality,Colombia,Bolivar,Clemencia,NA,13222,NA
Colombia-Bolivar-El_Carmen_De_Bolivar,municipality,Colombia,Bolivar,El_Carmen_De_Bolivar,NA,13244,NA
Colombia-Bolivar-El_Guamo,municipality,Colombia,Bolivar,El_Guamo,NA,13248,NA
Colombia-Bolivar-El_Penon,municipality,Colombia,Bolivar,El_Penon,NA,13268,NA
Colombia-Bolivar-Hatillo_De_Loba,municipality,Colombia,Bolivar,Hatillo_De_Loba,NA,13300,NA
Colombia-Bolivar-Magangue,municipality,Colombia,Bolivar,Magangue,NA,13430,NA
Colombia-Bolivar-Mahates,municipality,Colombia,Bolivar,Mahates,NA,13433,NA
Colombia-Bolivar-Margarita,municipality,Colombia,Bolivar,Margarita,NA,13440,NA
Colombia-Bolivar-Maria_La_Baja,municipality,Colombia,Bolivar,Maria_La_Baja,NA,13442,NA
Colombia-Bolivar-Montecristo,municipality,Colombia,Bolivar,Montecristo,NA,13458,NA
Colombia-Bolivar-Mompos,municipality,Colombia,Bolivar,Mompos,NA,13468,NA
Colombia-Bolivar-Norosi,municipality,Colombia,Bolivar,Norosi,NA,13490,NA
Colombia-Bolivar-Morales,municipality,Colombia,Bolivar,Morales,NA,13473,NA
Colombia-Bolivar-Pinillos,municipality,Colombia,Bolivar,Pinillos,NA,13549,NA
Colombia-Bolivar-Regidor,municipality,Colombia,Bolivar,Regidor,NA,13580,NA
Colombia-Bolivar-Rio_Viejo,municipality,Colombia,Bolivar,Rio_Viejo,NA,13600,NA
Colombia-Bolivar-San_Cristobal,municipality,Colombia,Bolivar,San_Cristobal,NA,13620,NA
Colombia-Bolivar-San_Estanislao,municipality,Colombia,Bolivar,San_Estanislao,NA,13647,NA
Colombia-Bolivar-San_Fernando,municipality,Colombia,Bolivar,San_Fernando,NA,13650,NA
Colombia-Bolivar-San_Jacinto,municipality,Colombia,Bolivar,San_Jacinto,NA,13654,NA
Colombia-Bolivar-San_Jacinto_Del_Cauca,municipality,Colombia,Bolivar,San_Jacinto_Del_Cauca,NA,13655,NA
Colombia-Bolivar-San_Juan_Nepomuceno,municipality,Colombia,Bolivar,San_Juan_Nepomuceno,NA,13657,NA
Colombia-Bolivar-San_Martin_De_Loba,municipality,Colombia,Bolivar,San_Martin_De_Loba,NA,13667,NA
Colombia-Bolivar-San_Pablo,municipality,Colombia,Bolivar,San_Pablo,NA,13670,NA
Colombia-Bolivar-Santa_Catalina,municipality,Colombia,Bolivar,Santa_Catalina,NA,13673,NA
Colombia-Bolivar-Santa_Rosa,municipality,Colombia,Bolivar,Santa_Rosa,NA,13683,NA
Colombia-Bolivar-Santa_Rosa_Del_Sur,municipality,Colombia,Bolivar,Santa_Rosa_Del_Sur,NA,13688,NA
Colombia-Bolivar-Simiti,municipality,Colombia,Bolivar,Simiti,NA,13744,NA
Colombia-Bolivar-Soplaviento,municipality,Colombia,Bolivar,Soplaviento,NA,13760,NA
Colombia-Bolivar-Talaigua_Nuevo,municipality,Colombia,Bolivar,Talaigua_Nuevo,NA,13780,NA
Colombia-Bolivar-Tiquisio,municipality,Colombia,Bolivar,Tiquisio,NA,13810,NA
Colombia-Bolivar-Turbaco,municipality,Colombia,Bolivar,Turbaco,NA,13836,NA
Colombia-Bolivar-Turbana,municipality,Colombia,Bolivar,Turbana,NA,13838,NA
Colombia-Bolivar-Villanueva,municipality,Colombia,Bolivar,Villanueva,NA,13873,NA
Colombia-Bolivar-Zambrano,municipality,Colombia,Bolivar,Zambrano,NA,13894,NA
Colombia-Boyaca-Unknown,municipality,Colombia,Boyaca,Unknown,NA,15000,NA
Colombia-Boyaca-Tunja,municipality,Colombia,Boyaca,Tunja,NA,15001,NA
Colombia-Boyaca-Almeida,municipality,Colombia,Boyaca,Almeida,NA,15022,NA
Colombia-Boyaca-Aquitania,municipality,Colombia,Boyaca,Aquitania,NA,15047,NA
Colombia-Boyaca-Arcabuco,municipality,Colombia,Boyaca,Arcabuco,NA,15051,NA
Colombia-Boyaca-Belen,municipality,Colombia,Boyaca,Belen,NA,15087,NA
Colombia-Boyaca-Berbeo,municipality,Colombia,Boyaca,Berbeo,NA,15090,NA
Colombia-Boyaca-Beteitiva,municipality,Colombia,Boyaca,Beteitiva,NA,15092,NA
Colombia-Boyaca-Boavita,municipality,Colombia,Boyaca,Boavita,NA,15097,NA
Colombia-Boyaca-Boyaca,municipality,Colombia,Boyaca,Boyaca,NA,15104,NA
Colombia-Boyaca-Briceno,municipality,Colombia,Boyaca,Briceno,NA,15106,NA
Colombia-Boyaca-Buenavista,municipality,Colombia,Boyaca,Buenavista,NA,15109,NA
Colombia-Boyaca-Busbanza,municipality,Colombia,Boyaca,Busbanza,NA,15114,NA
Colombia-Boyaca-Caldas,municipality,Colombia,Boyaca,Caldas,NA,15131,NA
Colombia-Boyaca-Campohermoso,municipality,Colombia,Boyaca,Campohermoso,NA,15135,NA
Colombia-Boyaca-Cerinza,municipality,Colombia,Boyaca,Cerinza,NA,15162,NA
Colombia-Boyaca-Chinavita,municipality,Colombia,Boyaca,Chinavita,NA,15172,NA
Colombia-Boyaca-Chiquinquira,municipality,Colombia,Boyaca,Chiquinquira,NA,15176,NA
Colombia-Boyaca-Chiscas,municipality,Colombia,Boyaca,Chiscas,NA,15180,NA
Colombia-Boyaca-Chita,municipality,Colombia,Boyaca,Chita,NA,15183,NA
Colombia-Boyaca-Chitaraque,municipality,Colombia,Boyaca,Chitaraque,NA,15185,NA
Colombia-Boyaca-Chivata,municipality,Colombia,Boyaca,Chivata,NA,15187,NA
Colombia-Boyaca-Cienega,municipality,Colombia,Boyaca,Cienega,NA,15189,NA
Colombia-Boyaca-Combita,municipality,Colombia,Boyaca,Combita,NA,15204,NA
Colombia-Boyaca-Coper,municipality,Colombia,Boyaca,Coper,NA,15212,NA
Colombia-Boyaca-Corrales,municipality,Colombia,Boyaca,Corrales,NA,15215,NA
Colombia-Boyaca-Covarachia,municipality,Colombia,Boyaca,Covarachia,NA,15218,NA
Colombia-Boyaca-Cubara,municipality,Colombia,Boyaca,Cubara,NA,15223,NA
Colombia-Boyaca-Cucaita,municipality,Colombia,Boyaca,Cucaita,NA,15224,NA
Colombia-Boyaca-Cuitiva,municipality,Colombia,Boyaca,Cuitiva,NA,15226,NA
Colombia-Boyaca-Chiquiza,municipality,Colombia,Boyaca,Chiquiza,NA,15232,NA
Colombia-Boyaca-Chivor,municipality,Colombia,Boyaca,Chivor,NA,15236,NA
Colombia-Boyaca-Duitama,municipality,Colombia,Boyaca,Duitama,NA,15238,NA
Colombia-Boyaca-El_Cocuy,municipality,Colombia,Boyaca,El_Cocuy,NA,15244,NA
Colombia-Boyaca-El_Espino,municipality,Colombia,Boyaca,El_Espino,NA,15248,NA
Colombia-Boyaca-Firavitoba,municipality,Colombia,Boyaca,Firavitoba,NA,15272,NA
Colombia-Boyaca-Floresta,municipality,Colombia,Boyaca,Floresta,NA,15276,NA
Colombia-Boyaca-Gachantiva,municipality,Colombia,Boyaca,Gachantiva,NA,15293,NA
Colombia-Boyaca-Gameza,municipality,Colombia,Boyaca,Gameza,NA,15296,NA
Colombia-Boyaca-Garagoa,municipality,Colombia,Boyaca,Garagoa,NA,15299,NA
Colombia-Boyaca-Guacamayas,municipality,Colombia,Boyaca,Guacamayas,NA,15317,NA
Colombia-Boyaca-Guateque,municipality,Colombia,Boyaca,Guateque,NA,15322,NA
Colombia-Boyaca-Guayata,municipality,Colombia,Boyaca,Guayata,NA,15325,NA
Colombia-Boyaca-Guican,municipality,Colombia,Boyaca,Guican,NA,15332,NA
Colombia-Boyaca-Iza,municipality,Colombia,Boyaca,Iza,NA,15362,NA
Colombia-Boyaca-Jenesano,municipality,Colombia,Boyaca,Jenesano,NA,15367,NA
Colombia-Boyaca-Jerico,municipality,Colombia,Boyaca,Jerico,NA,15368,NA
Colombia-Boyaca-Labranzagrande,municipality,Colombia,Boyaca,Labranzagrande,NA,15377,NA
Colombia-Boyaca-La_Capilla,municipality,Colombia,Boyaca,La_Capilla,NA,15380,NA
Colombia-Boyaca-La_Victoria,municipality,Colombia,Boyaca,La_Victoria,NA,15401,NA
Colombia-Boyaca-La_Uvita,municipality,Colombia,Boyaca,La_Uvita,NA,15403,NA
Colombia-Boyaca-Villa_De_Leyva,municipality,Colombia,Boyaca,Villa_De_Leyva,NA,15407,NA
Colombia-Boyaca-Macanal,municipality,Colombia,Boyaca,Macanal,NA,15425,NA
Colombia-Boyaca-Maripi,municipality,Colombia,Boyaca,Maripi,NA,15442,NA
Colombia-Boyaca-Miraflores,municipality,Colombia,Boyaca,Miraflores,NA,15455,NA
Colombia-Boyaca-Mongua,municipality,Colombia,Boyaca,Mongua,NA,15464,NA
Colombia-Boyaca-Mongui,municipality,Colombia,Boyaca,Mongui,NA,15466,NA
Colombia-Boyaca-Moniquira,municipality,Colombia,Boyaca,Moniquira,NA,15469,NA
Colombia-Boyaca-Motavita,municipality,Colombia,Boyaca,Motavita,NA,15476,NA
Colombia-Boyaca-Muzo,municipality,Colombia,Boyaca,Muzo,NA,15480,NA
Colombia-Boyaca-Nobsa,municipality,Colombia,Boyaca,Nobsa,NA,15491,NA
Colombia-Boyaca-Nuevo_Colon,municipality,Colombia,Boyaca,Nuevo_Colon,NA,15494,NA
Colombia-Boyaca-Oicata,municipality,Colombia,Boyaca,Oicata,NA,15500,NA
Colombia-Boyaca-Otanche,municipality,Colombia,Boyaca,Otanche,NA,15507,NA
Colombia-Boyaca-Pachavita,municipality,Colombia,Boyaca,Pachavita,NA,15511,NA
Colombia-Boyaca-Paez,municipality,Colombia,Boyaca,Paez,NA,15514,NA
Colombia-Boyaca-Paipa,municipality,Colombia,Boyaca,Paipa,NA,15516,NA
Colombia-Boyaca-Pajarito,municipality,Colombia,Boyaca,Pajarito,NA,15518,NA
Colombia-Boyaca-Panqueba,municipality,Colombia,Boyaca,Panqueba,NA,15522,NA
Colombia-Boyaca-Pauna,municipality,Colombia,Boyaca,Pauna,NA,15531,NA
Colombia-Boyaca-Paya,municipality,Colombia,Boyaca,Paya,NA,15533,NA
Colombia-Boyaca-Paz_De_Rio,municipality,Colombia,Boyaca,Paz_De_Rio,NA,15537,NA
Colombia-Boyaca-Pesca,municipality,Colombia,Boyaca,Pesca,NA,15542,NA
Colombia-Boyaca-Pisba,municipality,Colombia,Boyaca,Pisba,NA,15550,NA
Colombia-Boyaca-Puerto_Boyaca,municipality,Colombia,Boyaca,Puerto_Boyaca,NA,15572,NA
Colombia-Boyaca-Quipama,municipality,Colombia,Boyaca,Quipama,NA,15580,NA
Colombia-Boyaca-Ramiriqui,municipality,Colombia,Boyaca,Ramiriqui,NA,15599,NA
Colombia-Boyaca-Raquira,municipality,Colombia,Boyaca,Raquira,NA,15600,NA
Colombia-Boyaca-Rondon,municipality,Colombia,Boyaca,Rondon,NA,15621,NA
Colombia-Boyaca-Saboya,municipality,Colombia,Boyaca,Saboya,NA,15632,NA
Colombia-Boyaca-Sachica,municipality,Colombia,Boyaca,Sachica,NA,15638,NA
Colombia-Boyaca-Samaca,municipality,Colombia,Boyaca,Samaca,NA,15646,NA
Colombia-Boyaca-San_Eduardo,municipality,Colombia,Boyaca,San_Eduardo,NA,15660,NA
Colombia-Boyaca-San_Jose_De_Pare,municipality,Colombia,Boyaca,San_Jose_De_Pare,NA,15664,NA
Colombia-Boyaca-San_Luis_De_Gaceno,municipality,Colombia,Boyaca,San_Luis_De_Gaceno,NA,15667,NA
Colombia-Boyaca-San_Mateo,municipality,Colombia,Boyaca,San_Mateo,NA,15673,NA
Colombia-Boyaca-San_Miguel_De_Sema,municipality,Colombia,Boyaca,San_Miguel_De_Sema,NA,15676,NA
Colombia-Boyaca-San_Pablo_De_Borbur,municipality,Colombia,Boyaca,San_Pablo_De_Borbur,NA,15681,NA
Colombia-Boyaca-Santana,municipality,Colombia,Boyaca,Santana,NA,15686,NA
Colombia-Boyaca-Santa_Maria,municipality,Colombia,Boyaca,Santa_Maria,NA,15690,NA
Colombia-Boyaca-Santa_Rosa_De_Viterbo,municipality,Colombia,Boyaca,Santa_Rosa_De_Viterbo,NA,15693,NA
